"Time","Location ID","Analyte ID","Analyte Type","Solution Type","Units","Values by realization"
2012,"RRD1-1","ACNAPE","CONMEDIA","GWAT","ug/L", 3.10000E-04
2012,"RRD1-1","ACNAPE","CONMEDIA","SWAT","ug/L", 1.10000E-04
2012,"RRD1-1","ACNAPE","CONMEDIA","SEEP","ug/L", 2.04000E-04
2012,"RRD1-1","ACNAPE","CONMEDIA","AIRC","ug/m^3", 1.00000E-03
2012,"RRD1-1","As","CONMEDIA","GWAT","ug/L", 5.00000E+00
2012,"RRD1-1","As","CONMEDIA","SWAT","ug/L", 3.00000E-01
2012,"RRD1-1","As","CONMEDIA","SEEP","ug/L", 2.50900E+00
2012,"RRD1-1","As","CONMEDIA","AIRC","ug/m^3", 1.00000E-01
2012,"RRD1-1","Hg","CONMEDIA","GWAT","ug/L", 1.00000E-01
2012,"RRD1-1","Hg","CONMEDIA","SWAT","ug/L", 2.40000E-02
2012,"RRD1-1","Hg","CONMEDIA","SEEP","ug/L", 5.97200E-02
2012,"RRD1-1","Hg","CONMEDIA","AIRC","ug/m^3", 1.00000E+00
2012,"RRD1-1","Zn","CONMEDIA","GWAT","ug/L", 2.10000E-01
2012,"RRD1-1","Zn","CONMEDIA","SWAT","ug/L", 5.04000E-02
2012,"RRD1-1","Zn","CONMEDIA","SEEP","ug/L", 1.25412E-01
2012,"RRD1-1","Zn","CONMEDIA","AIRC","ug/m^3", 2.10000E+00
2012,"RRD1-1","ACNAPE","CONFOODS","FISH","ug/kg", 7.74346E-02
2012,"RRD1-1","ACNAPE","CONFOODS","FISH_2","ug/kg", 1.58640E-01
2012,"RRD1-1","As","CONFOODS","FISH","ug/kg", 8.60923E+01
2012,"RRD1-1","As","CONFOODS","FISH_2","ug/kg", 5.62540E+00
2012,"RRD1-1","Hg","CONFOODS","FISH","ug/kg", 3.29760E+02
2012,"RRD1-1","Hg","CONFOODS","FISH_2","ug/kg", 5.34680E+01
2012,"RRD1-1","Zn","CONFOODS","FISH","ug/kg", 1.32983E+02
2012,"RRD1-1","Zn","CONFOODS","FISH_2","ug/kg", 1.78679E+02
2012,"RRD1-1","ACNAPE","CAR","DOSEING","mg/kg-day", 7.91434E-09
2012,"RRD1-1","ACNAPE","CAR","DOSEINH","mg/kg-day", 8.56743E-10
2012,"RRD1-1","ACNAPE","CAR","DOSEDER","mg/kg-day", 6.14620E-14
2012,"RRD1-1","ACNAPE","CAR","RISKINH","Risk", 9.42417E-16
2012,"RRD1-1","ACNAPE","CAR","ANADOSE","mg/kg-day", 8.77114E-09
2012,"RRD1-1","ACNAPE","CAR","ANARISK","Risk", 9.42417E-16
2012,"RRD1-1","As","CAR","DOSEING","mg/kg-day", 3.07481E-06
2012,"RRD1-1","As","CAR","DOSEINH","mg/kg-day", 8.56742E-08
2012,"RRD1-1","As","CAR","DOSEDER","mg/kg-day", 1.67624E-10
2012,"RRD1-1","As","CAR","RISKING","Risk", 4.61221E-06
2012,"RRD1-1","As","CAR","RISKINH","Risk", 3.68399E-10
2012,"RRD1-1","As","CAR","RISKDER","Risk", 2.51435E-10
2012,"RRD1-1","As","CAR","ANADOSE","mg/kg-day", 3.16065E-06
2012,"RRD1-1","As","CAR","ANARISK","Risk", 4.61283E-06
2012,"RRD1-1","COMBIN","CAR","SUMRISK","Risk", 4.61283E-06
2012,"RRD1-1","COMBIN","ALL","SUMRISK","Risk", 4.61283E-06
2012,"RRD1-1","ACNAPE","HAZ","DOSEING","mg/kg-day", 7.91434E-09
2012,"RRD1-1","ACNAPE","HAZ","DOSEINH","mg/kg-day", 8.56743E-10
2012,"RRD1-1","ACNAPE","HAZ","DOSEDER","mg/kg-day", 6.14620E-14
2012,"RRD1-1","ACNAPE","HAZ","HQINH","Unitless", 1.42790E-08
2012,"RRD1-1","ACNAPE","HAZ","ANADOSE","mg/kg-day", 8.77114E-09
2012,"RRD1-1","ACNAPE","HAZ","ANAHQ","Unitless", 5.19667E-08
2012,"RRD1-1","As","HAZ","DOSEING","mg/kg-day", 3.07481E-06
